ano;cod_mun;num_obt
2004;210240;2
2005;210240;7
2006;210240;5
2007;210240;5
2008;210240;3
2009;210240;2
2010;210240;5
2011;210240;5
2012;210240;2
2013;210240;8
2015;210240;1
2016;210240;2
2004;210250;1
2005;210250;8
2006;210250;5
2007;210250;6
2008;210250;3
2009;210250;2
2010;210250;6
2011;210250;3
2012;210250;3
2013;210250;4
2014;210250;6
2015;210250;4
2016;210250;1
2004;210255;3
2005;210255;4
2006;210255;3
2007;210255;10
2008;210255;1
2009;210255;6
2010;210255;4
2011;210255;2
2012;210255;4
2013;210255;5
2014;210255;5
2015;210255;1
2016;210255;3
2008;210260;1
2009;210260;4
2010;210260;2
2011;210260;6
2012;210260;4
2013;210260;3
2014;210260;2
2016;210260;4
2004;210270;7
2005;210270;11
2006;210270;12
2007;210270;8
2008;210270;2
2009;210270;3
2010;210270;5
2011;210270;11
2012;210270;7
2013;210270;7
2014;210270;5
2015;210270;10
2006;210275;2
2007;210275;1
2008;210275;1
2009;210275;2
2010;210275;1
2011;210275;3
2012;210275;2
2013;210275;2
2015;210275;6
2016;210275;5
2004;210280;5
2005;210280;4
2006;210280;10
2007;210280;2
2008;210280;3
2009;210280;5
2010;210280;3
2011;210280;6
2012;210280;1
2013;210280;9
2014;210280;3
2015;210280;6
2016;210280;6
2004;210290;5
2005;210290;4
2006;210290;6
2007;210290;2
2008;210290;6
2009;210290;8
2010;210290;6
2011;210290;8
2012;210290;6
2013;210290;10
2014;210290;11
2015;210290;4
2016;210290;4
2004;210300;74
2005;210300;87
2006;210300;103
2007;210300;96
2008;210300;73
2009;210300;67
2010;210300;66
2011;210300;94
2012;210300;52
2013;210300;79
2014;210300;52
2015;210300;48
2016;210300;39
2004;210310;1
2005;210310;2
2006;210310;3
2007;210310;3
2008;210310;5
2009;210310;2
2010;210310;1
2012;210310;1
2013;210310;1
2015;210310;3
2016;210310;3
2004;210312;3
2005;210312;3
2006;210312;4
2007;210312;3
2009;210312;3
2010;210312;2
2011;210312;3
2012;210312;1
2013;210312;4
2014;210312;1
2016;210312;1
2004;210315;3
2005;210315;5
2008;210315;1
2009;210315;1
2010;210315;3
2011;210315;5
2012;210315;3
2014;210315;5
2015;210315;6
2016;210315;1
2004;210317;5
2005;210317;7
2006;210317;4
2007;210317;3
2008;210317;2
2009;210317;7
2010;210317;5
2011;210317;9
2012;210317;8
2013;210317;3
2014;210317;1
2015;210317;6
2016;210317;6
2004;210320;37
2005;210320;57
2006;210320;35
2007;210320;29
2008;210320;42
2009;210320;36
2010;210320;42
2011;210320;42
2012;210320;22
2013;210320;29
2014;210320;22
2015;210320;24
2016;210320;15
2004;210325;4
2005;210325;3
2006;210325;3
2007;210325;4
2008;210325;7
2009;210325;3
2010;210325;1
2012;210325;3
2013;210325;4
2014;210325;1
2015;210325;4
2016;210325;2
2004;210330;52
2005;210330;63
2006;210330;47
2007;210330;51
2008;210330;39
2009;210330;40
2010;210330;39
2011;210330;35
2012;210330;32
2013;210330;35
2014;210330;38
2015;210330;33
2016;210330;29
2004;210340;16
2005;210340;20
2006;210340;28
2007;210340;28
2008;210340;21
2009;210340;16
2010;210340;13
2011;210340;15
2012;210340;27
2013;210340;25
2014;210340;24
2015;210340;12
2016;210340;17
2004;210350;14
2005;210350;7
2006;210350;6
2007;210350;16
2008;210350;12
2009;210350;13
2010;210350;13
2011;210350;7
2012;210350;7
2013;210350;12
2014;210350;9
2015;210350;12
2016;210350;14
2004;210355;6
2005;210355;4
2006;210355;6
2007;210355;4
2008;210355;3
2009;210355;3
2010;210355;2
2011;210355;6
2012;210355;1
2013;210355;4
2014;210355;1
2015;210355;4
2016;210355;2
2004;210360;19
2005;210360;12
2006;210360;20
2007;210360;23
2008;210360;25
2009;210360;20
2010;210360;22
2011;210360;14
2012;210360;18
2013;210360;19
2014;210360;12
2015;210360;16
2016;210360;19
2004;210370;13
2005;210370;14
2006;210370;11
2007;210370;7
2008;210370;16
2009;210370;22
2010;210370;13
2011;210370;11
2012;210370;11
2013;210370;15
2014;210370;9
2015;210370;7
2016;210370;7
2004;210375;10
2005;210375;8
2006;210375;6
2007;210375;1
2008;210375;2
2009;210375;8
2010;210375;4
2011;210375;4
2012;210375;1
2013;210375;3
2014;210375;5
2015;210375;7
2016;210375;4
2004;210380;4
2005;210380;3
2006;210380;4
2007;210380;2
2008;210380;1
2009;210380;3
2010;210380;6
2011;210380;4
2012;210380;3
2013;210380;6
2014;210380;6
2015;210380;3
2016;210380;2
2004;210390;5
2005;210390;6
2006;210390;6
2007;210390;6
2008;210390;4
2009;210390;4
2010;210390;2
2011;210390;4
2012;210390;2
2013;210390;2
2014;210390;2
2015;210390;3
2016;210390;1
2004;210400;8
2005;210400;2
2006;210400;10
2007;210400;4
2008;210400;7
2009;210400;3
2010;210400;7
2011;210400;7
2012;210400;5
2013;210400;5
2014;210400;2
2015;210400;4
